12 13 8
Lis 8 8 3 3 7 L 
Wilk 5 7 3 9 5 W 
Wilk 8 2 3 9 5 W 
Wilk 1 2 3 9 5 W 
Czlowiek 6 4 3 9 4 C 4
Antylopa 7 9 3 7 4 A 
Antylopa 9 8 3 4 4 A 
Owca 0 10 3 4 4 O 
Antylopa 11 2 3 4 4 A 
Owca 9 1 3 4 4 O 
Zolw 11 5 3 2 1 Z 
Zolw 11 9 3 2 1 Z 
Zolw 11 8 3 2 1 Z 
BarszczSosnowskiego 10 3 3 9999 0 B 
Mlecz 10 7 3 0 0 M 
Trawa 6 1 3 0 0 T 
WilczeJagody 4 5 3 9999 0 J 
BarszczSosnowskiego 2 7 3 9999 0 B 
Guarana 5 12 3 0 0 G 
Mlecz 9 2 3 0 0 M 
Trawa 0 11 3 0 0 T 
WilczeJagody 2 9 3 9999 0 J 
BarszczSosnowskiego 0 12 3 9999 0 B 
Guarana 2 3 3 0 0 G 
Mlecz 3 2 3 0 0 M 
Trawa 9 11 3 0 0 T 
WilczeJagody 6 2 3 9999 0 J 
Mlecz 10 6 2 0 0 M 
Mlecz 11 7 2 0 0 M 
WilczeJagody 5 5 2 9999 0 J 
Mlecz 10 8 1 0 0 M 
WilczeJagody 4 6 1 9999 0 J 
Mlecz 10 2 1 0 0 M 
Mlecz 2 2 1 0 0 M 
Mlecz 3 1 1 0 0 M 
Trawa 9 12 1 0 0 T 
Mlecz 11 6 1 0 0 M 
