10 10 0
Lis 0 7 32 3 7 L 
Wilk 8 5 32 9 5 W 
Wilk 7 7 32 9 5 W 
Wilk 7 4 31 9 5 W 
Wilk 8 0 29 9 5 W 
Wilk 7 0 26 9 5 W 
Wilk 9 1 25 9 5 W 
Wilk 6 2 24 9 5 W 
Wilk 9 5 23 9 5 W 
Wilk 9 2 22 9 5 W 
Wilk 6 8 22 9 5 W 
Wilk 6 3 22 9 5 W 
Wilk 8 3 21 9 5 W 
Wilk 7 3 21 9 5 W 
Wilk 9 6 20 9 5 W 
Wilk 8 4 20 9 5 W 
Wilk 7 2 20 9 5 W 
Wilk 9 4 20 9 5 W 
Wilk 8 2 20 9 5 W 
Wilk 9 7 19 9 5 W 
Wilk 8 1 19 9 5 W 
Wilk 6 5 19 9 5 W 
Wilk 7 5 19 9 5 W 
Wilk 1 1 19 9 5 W 
Wilk 4 3 19 9 5 W 
Wilk 9 3 19 9 5 W 
Wilk 6 4 18 9 5 W 
Wilk 9 8 18 9 5 W 
Wilk 9 0 18 9 5 W 
Wilk 6 1 18 9 5 W 
Wilk 8 6 18 9 5 W 
Wilk 7 1 18 9 5 W 
Wilk 7 6 17 9 5 W 
Wilk 4 9 17 9 5 W 
Wilk 6 0 17 9 5 W 
Wilk 0 3 17 9 5 W 
Wilk 2 1 16 9 5 W 
Wilk 8 7 16 9 5 W 
Wilk 5 5 16 9 5 W 
Wilk 6 6 16 9 5 W 
Wilk 8 9 15 9 5 W 
Wilk 5 0 15 9 5 W 
Wilk 5 1 14 9 5 W 
Wilk 8 8 13 9 5 W 
Wilk 4 0 13 9 5 W 
Wilk 4 1 13 9 5 W 
Wilk 0 0 12 9 5 W 
Wilk 5 2 12 9 5 W 
Wilk 9 9 12 9 5 W 
Wilk 5 6 12 9 5 W 
Wilk 4 2 12 9 5 W 
Wilk 7 8 11 9 5 W 
Wilk 3 5 11 9 5 W 
Wilk 0 2 11 9 5 W 
Wilk 4 5 11 9 5 W 
Wilk 6 7 10 9 5 W 
Wilk 5 4 10 9 5 W 
Wilk 5 3 10 9 5 W 
Wilk 3 2 10 9 5 W 
Wilk 5 7 10 9 5 W 
Wilk 4 4 10 9 5 W 
Wilk 7 9 9 9 5 W 
Wilk 3 1 9 9 5 W 
Wilk 3 3 9 9 5 W 
Wilk 4 8 8 9 5 W 
Wilk 3 0 8 9 5 W 
Wilk 4 6 8 9 5 W 
Wilk 0 6 8 9 5 W 
Wilk 2 0 7 9 5 W 
Wilk 2 2 7 9 5 W 
Wilk 4 7 7 9 5 W 
Wilk 6 9 7 9 5 W 
Wilk 1 6 7 9 5 W 
Wilk 3 6 7 9 5 W 
Wilk 2 3 6 9 5 W 
Wilk 5 8 6 9 5 W 
Wilk 1 2 6 9 5 W 
Wilk 2 4 6 9 5 W 
Wilk 1 0 6 9 5 W 
Wilk 5 9 5 9 5 W 
Wilk 3 4 5 9 5 W 
Wilk 0 1 5 9 5 W 
Wilk 2 5 4 9 5 W 
Wilk 2 6 4 9 5 W 
Wilk 3 9 4 9 5 W 
Wilk 1 3 4 9 5 W 
Wilk 3 8 4 9 5 W 
Wilk 1 4 4 9 5 W 
Wilk 2 9 3 9 5 W 
Wilk 0 4 3 9 5 W 
Wilk 0 5 2 9 5 W 
Wilk 3 7 2 9 5 W 
Wilk 1 5 2 9 5 W 
Wilk 1 9 1 9 5 W 
